eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location
A10_1_G+C+,,,,NA,,"POLYGON ((566460.060376016 4076472.53489555,566458.866703422 4076470.942301,566457.27410887 4076472.13597359,566458.467781465 4076473.72856814,566460.060376016 4076472.53489555))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A11_1_G-C+,,,,NA,,"POLYGON ((566457.982736339 4076474.63930261,566456.41746308 4076473.3965608,566455.1675208 4076474.94410838,566456.758717162 4076476.20595487,566457.982736339 4076474.63930261))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A16_2_G+C+,,,,NA,,"POLYGON ((566418.583657636 4076507.32778621,566416.916510321 4076506.32376364,566415.912487744 4076507.99091095,566417.579635059 4076508.99493353,566418.583657636 4076507.32778621))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A15_2_G-C-,,,,NA,,"POLYGON ((566414.175537235 4076499.58554066,566413.336160259 4076497.74811173,566411.498731328 4076498.58748871,566412.338108304 4076500.42491764,566414.175537235 4076499.58554066))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A14_1_G-C-,,,,NA,,"POLYGON ((566467.506016478 4076478.47238653,566469.020916637 4076477.18003379,566467.728563903 4076475.66513363,566466.213663744 4076476.95748637,566467.506016478 4076478.47238653))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A13_2_G-C+,,,,NA,,"POLYGON ((566457.23794745 4076480.87125386,566456.264599054 4076482.66074693,566458.054092123 4076483.63409532,566459.027440519 4076481.84460225,566457.23794745 4076480.87125386))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A20_3_G+C+,,,,NA,,"POLYGON ((566790.49725309 4076539.86883747,566792.504017362 4076539.63999593,566792.275175822 4076537.59802526,566790.250808354 4076537.78285881,566790.506054687 4076539.86883747,566790.49725309 4076539.86883747))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A21_3_G-C+,,,,NA,,"POLYGON ((566786.360742223 4076547.82586753,566788.184802057 4076548.81347439,566789.172408919 4076546.98941456,566787.348349085 4076546.0018077,566786.360742223 4076547.82586753))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A19_3_G-C-,,,,NA,,"POLYGON ((566796.543400133 4076558.41313407,566797.864967326 4076559.93523331,566799.387066567 4076558.61366612,566798.065499374 4076557.09156687,566796.543400133 4076558.41313407))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
A23_4_G-C+,,,,NA,,"POLYGON ((566987.582992101 4076779.03399704,566988.905264452 4076780.62396871,566990.373554608 4076779.30169635,566989.010721756 4076777.73606099,566987.574880001 4076779.04210914,566987.582992101 4076779.03399704))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras
